cod_inst;vacantes2021;vacantes2022;vacantes2023;vacantes2024;vacantes2025;categoria;desagregacion;cod_tab
86;0;78;74;77;92;1;6;86106
86;0;630;630;774;964;1;7;86107
86;0;8;7;12;13;1;8;86108
86;0;229;359;112;130;1;9;86109
86;0;40;40;43;42;1;10;86110
86;5559;5955;6127;6349;6258;2;1;86201
86;0;307;306;269;343;2;2;86202
86;0;244;130;133;154;2;3;86203
86;0;120;335;316;418;2;4;86204
86;0;4;4;3;3;2;5;86205
86;0;120;335;316;418;3;0;86300
86;5559;6266;6437;6621;6604;3;1;86301
86;0;244;130;133;154;3;2;86302
87;8536;8516;8286;8593;8730;0;0;87000
87;190;190;190;190;230;1;1;87101
87;0;0;0;;;1;2;87102
87;0;0;0;0;0;1;3;87103
87;50;50;50;50;50;1;4;87104
87;4581;4682;4666;4638;4559;1;5;87105
87;298;303;194;196;223;1;6;87106
87;1780;1605;1449;1810;1910;1;7;87107
87;1316;1363;1400;1386;1406;1;9;87109
87;321;323;337;323;352;1;10;87110
87;6601;6737;6595;6457;6504;2;1;87201
87;1066;1057;1057;1116;1006;2;2;87202
87;460;503;397;585;620;2;3;87203
87;120;90;132;325;490;2;4;87204
87;289;129;105;110;110;2;5;87205
87;120;90;132;325;490;3;0;87300
87;7872;7883;7657;7643;7580;3;1;87301
87;544;543;497;625;660;3;2;87302
88;9307;8259;8211;7921;7406;0;0;88000
88;330;280;280;240;240;1;1;88101
88;2725;1232;1226;1364;1466;1;2;88102
88;420;520;600;600;470;1;3;88103
88;100;89;88;85;85;1;4;88104
88;3220;3238;3057;3165;3200;1;5;88105
88;1377;2060;2350;1590;1020;1;7;88107
88;820;690;490;720;720;1;9;88109
88;315;150;120;157;205;1;10;88110
88;7642;6244;5776;5456;5521;2;1;88201
88;1240;1405;1455;1455;1325;2;2;88202
88;;;420;330;150;2;3;88203
88;65;90;80;510;270;2;4;88204
88;360;520;480;170;140;2;5;88205
88;65;90;80;510;270;3;0;88300
88;9242;8169;7711;7081;6986;3;1;88301
88;;;420;330;150;3;2;88302
89;4746;4914;5181;5347;8411;0;0;89000
89;50;45;40;80;110;1;1;89101
89;80;0;200;250;650;1;3;89103
89;180;207;219;215;230;1;4;89104
89;2870;3150;3000;3025;3160;1;5;89105
89;;;;;2556;1;7;89107
89;441;250;195;195;241;1;8;89108
89;986;1120;1340;1390;1280;1;9;89109
89;139;142;187;192;184;1;10;89110
89;3892;3942;3801;3837;4583;2;1;89201
89;749;775;1101;1181;1196;2;2;89202
89;;137;219;219;2537;2;3;89203
89;60;60;60;110;95;2;4;89204
89;45;0;0;0;0;2;5;89205
89;60;60;60;110;95;3;0;89300
89;4656;4687;4872;4988;5749;3;1;89301
89;30;167;249;249;2567;3;2;89302
90;4971;4950;4773;5277;4447;0;0;90000
90;92;92;92;42;42;1;1;90101
90;210;210;210;150;150;1;2;90102
90;80;90;60;0;0;1;3;90103
90;30;30;30;50;50;1;4;90104
90;3174;3179;3179;3190;3287;1;5;90105
90;55;57;60;60;53;1;6;90106
90;677;607;511;1149;490;1;7;90107
90;120;120;55;45;3;1;8;90108
90;438;470;477;507;323;1;9;90109
90;95;95;99;84;49;1;10;90110
90;4199;4169;4086;4007;3731;2;1;90201
90;505;482;341;241;185;2;2;90202
90;162;178;135;218;246;2;3;90203
90;90;111;201;801;275;2;4;90204
90;15;10;10;10;10;2;5;90205
90;90;111;201;801;275;3;0;90300
90;4541;4469;4335;4156;3898;3;1;90301
90;340;370;237;320;274;3;2;90302
91;4534;4709;4783;3999;4994;0;0;91000
91;35;25;25;25;35;1;1;91101
91;10;6;18;16;35;1;3;91103
91;60;50;40;35;35;1;4;91104
91;1867;2005;2100;2182;2338;1;5;91105
91;41;40;37;37;46;1;6;91106
91;1700;1700;1923;1255;2018;1;7;91107
91;255;255;0;0;0;1;8;91108
91;514;571;567;386;414;1;9;91109
91;52;57;73;63;73;1;10;91110
91;2837;2994;2922;2619;2841;2;1;91201
91;90;120;105;140;226;2;2;91202
91;155;155;280;458;664;2;3;91203
91;815;815;1012;494;1055;2;4;91204
91;637;625;464;288;208;2;5;91205
91;815;815;1012;494;1055;3;0;91300
91;3564;3739;3491;3047;3275;3;1;91301
91;155;155;280;458;664;3;2;91302
92;3988;5081;3897;4281;4670;0;0;92000
92;;35;35;40;40;1;1;92101
92;0;0;0;0;0;1;2;92102
92;240;240;210;165;305;1;3;92103
92;0;0;0;0;0;1;4;92104
92;2790;2695;2385;2380;2600;1;5;92105
92;37;37;41;45;45;1;6;92106
92;480;1400;619;1021;1034;1;7;92107
92;120;221;132;195;222;1;8;92108
92;294;413;428;376;362;1;9;92109
92;27;40;47;59;62;1;10;92110
92;3348;3783;3070;3032;3236;2;1;92201
92;470;698;397;377;537;2;2;92202
92;;40;73;178;201;2;3;92203
92;170;560;357;694;696;2;4;92204
92;170;560;357;694;696;3;0;92300
92;3818;4481;3467;3409;3773;3;1;92301
92;;40;73;178;201;3;2;92302
93;5522;6588;6601;7375;7120;0;0;93000
93;1971;2089;2265;2340;2216;1;2;93102
93;594;700;740;865;950;1;3;93103
93;75;80;65;65;65;1;4;93104
93;1705;2030;1865;2340;2445;1;5;93105
93;16;16;16;24;16;1;6;93106
93;830;1276;1225;1185;929;1;7;93107
93;100;120;110;136;103;1;8;93108
93;220;262;293;387;355;1;9;93109
93;11;15;22;33;41;1;10;93110
93;3344;3607;3668;3910;4005;2;1;93201
93;1544;1941;1734;1414;1289;2;2;93202
93;;155;306;349;369;2;3;93203
93;45;621;575;1680;1451;2;4;93204
93;589;264;318;22;6;2;5;93205
93;45;621;575;1680;1451;3;0;93300
93;5477;5812;5720;5346;5300;3;1;93301
93;;155;306;349;369;3;2;93302
94;4658;5432;5934;4311;2677;0;0;94000
94;195;195;370;195;200;1;1;94101
94;826;383;0;265;395;1;2;94102
94;0;0;30;30;30;1;3;94103
94;40;50;55;60;60;1;4;94104
94;1630;1692;1812;1869;1667;1;5;94105
94;1581;2606;3315;1443;125;1;7;94107
94;96;96;140;149;0;1;8;94108
94;275;389;187;270;170;1;9;94109
94;15;21;25;30;30;1;10;94110
94;3058;2613;3192;2776;2267;2;1;94201
94;116;116;150;122;305;2;2;94202
94;450;609;554;400;0;2;3;94203
94;1012;2072;1982;978;105;2;4;94204
94;22;22;56;35;0;2;5;94205
94;1012;2072;1982;978;105;3;0;94300
94;3140;2735;3330;2872;2572;3;1;94301
94;506;625;622;461;0;3;2;94302
99;220;230;265;250;265;0;0;99000
99;95;105;95;95;100;1;2;99102
99;125;125;170;155;165;1;3;99103
99;150;155;155;155;150;2;1;99201
99;;;50;35;35;2;2;99202
99;70;75;60;60;80;2;5;99205
99;220;230;265;250;265;3;1;99301
100;12204;12680;13525;14589;14720;0;0;100000
100;12204;12680;13525;14589;14720;1;3;100103
100;8159;8307;8567;8679;8838;2;1;100201
100;4045;4293;4533;5055;4992;2;2;100202
100;;80;425;855;890;2;4;100204
100;;80;425;855;890;3;0;100300
100;12204;12600;13100;13734;13830;3;1;100301
100;0;0;0;0;0;3;2;100302
101;960;2880;480;240;0;0;0;101000
101;720;1280;280;240;0;1;2;101102
101;240;1600;200;0;0;1;3;101103
101;80;0;0;;;2;1;101201
101;640;1280;200;160;0;2;2;101202
101;240;1600;280;80;0;2;4;101204
101;240;1600;280;80;0;3;0;101300
101;720;1280;200;160;0;3;1;101301
103;2445;0;0;0;0;0;0;103000
103;235;0;0;0;0;1;2;103102
103;2210;0;0;0;0;1;3;103103
103;1205;0;0;0;0;2;1;103201
103;970;0;0;0;0;2;2;103202
103;270;0;0;0;0;2;3;103203
103;2175;0;0;0;0;3;1;103301
103;270;0;0;0;0;3;2;103302
104;420;490;475;480;485;0;0;104000
104;420;490;475;480;485;1;3;104103
104;210;270;275;290;305;2;1;104201
104;210;220;200;190;180;2;2;104202
104;420;490;475;480;485;3;1;104301
106;5180;30742;32047;28060;28012;0;0;106000
106;3360;20344;22553;19114;19831;1;2;106102
106;1820;10398;9494;8946;8181;1;3;106103
106;0;0;1195;0;0;2;2;106202
106;0;0;1136;0;0;2;3;106203
106;5180;30742;29716;28060;28012;2;4;106204
106;5180;30742;29716;28060;28012;3;0;106300
106;0;0;1195;0;0;3;1;106301
106;0;0;1136;0;0;3;2;106302
108;365;724;590;615;315;0;0;108000
108;150;341;235;210;75;1;2;108102
108;215;383;355;405;240;1;3;108103
108;230;398;305;305;120;2;1;108201
108;135;326;200;200;40;2;2;108202
108;;;85;110;155;2;4;108204
108;;;85;110;155;3;0;108300
108;365;724;505;505;160;3;1;108301
111;37628;35447;37134;38690;37829;0;0;111000
111;17990;15479;15551;15639;14288;1;2;111102
111;19638;19968;21583;23051;23541;1;3;111103
111;27097;25221;25518;26598;25785;2;1;111201
111;10291;9901;11116;11052;10718;2;2;111202
111;240;235;110;0;0;2;3;111203
111;;90;390;1040;1326;2;4;111204
111;;90;390;1040;1326;3;0;111300
111;36853;34772;36559;37650;36503;3;1;111301
111;775;585;185;0;0;3;2;111302
113;3709;2715;3230;2440;5025;0;0;113000
113;3029;2200;2345;1480;2345;1;2;113102
113;680;515;885;960;2680;1;3;113103
113;1030;690;635;530;390;2;1;113201
113;2057;1555;1895;740;1055;2;2;113202
113;;20;30;25;0;2;3;113203
113;622;450;670;1145;3580;2;4;113204
113;622;450;670;1145;3580;3;0;113300
113;3087;2245;2530;1270;1445;3;1;113301
113;;20;30;25;0;3;2;113302
116;10209;9825;10241;11745;14504;0;0;116000
116;2562;1982;1430;1590;1900;1;2;116102
116;7647;7843;8811;10155;11814;1;3;116103
116;;;;;790;1;7;116107
116;5016;4735;4709;4745;4869;2;1;116201
116;5193;5070;5012;4975;5200;2;2;116202
116;;20;0;0;0;2;3;116203
116;;;520;2025;4435;2;4;116204
116;;;520;2025;4435;3;0;116300
116;10094;9680;9656;9625;10009;3;1;116301
116;115;145;65;95;60;3;2;116302
117;6330;21700;20950;21950;20300;0;0;117000
117;4175;13840;12550;12470;11590;1;2;117102
117;2155;7860;8400;9480;8710;1;3;117103
117;6330;21700;20950;21950;20300;2;4;117204
117;6330;21700;20950;21950;20300;3;0;117300
120;12160;13370;23990;24000;4138;0;0;120000
120;5160;6790;13930;13920;2275;1;2;120102
120;7000;6580;10060;10080;1863;1;3;120103
120;3300;4130;3735;3710;190;2;1;120201
120;4220;5740;6740;6720;180;2;2;120202
120;;;10505;10560;2725;2;3;120203
120;4640;3500;3010;3010;1043;2;4;120204
120;4640;3500;3010;3010;1043;3;0;120300
120;6980;9240;9845;9800;130;3;1;120301
120;540;630;11135;11190;2965;3;2;120302
123;10395;8323;8491;8393;8986;0;0;123000
123;5610;4674;4375;3575;4059;1;2;123102
123;4785;3649;4116;4818;4927;1;3;123103
123;4410;3092;2797;2941;2943;2;1;123201
123;4185;2417;2003;1915;2010;2;2;123202
123;;150;0;0;;2;3;123203
123;1800;2664;3691;3537;4033;2;4;123204
123;1800;2664;3691;3537;4033;3;0;123300
123;8595;5509;4800;4856;4953;3;1;123301
123;;150;0;0;;3;2;123302
129;400;400;440;470;415;0;0;129000
129;;;;;50;1;2;129102
129;400;400;440;470;365;1;3;129103
129;400;400;380;410;355;2;1;129201
129;;;60;60;60;2;4;129204
129;;;60;60;60;3;0;129300
129;400;400;380;410;355;3;1;129301
132;1605;1900;0;0;0;0;0;132000
132;1605;1900;0;0;0;1;2;132102
132;0;0;0;0;0;1;3;132103
132;475;570;0;0;0;2;1;132201
132;1130;1330;0;0;0;2;2;132202
132;1605;1900;0;0;0;3;1;132301
132;0;0;0;0;;3;2;132302
137;580;525;485;515;635;0;0;137000
137;360;280;220;220;238;1;2;137102
137;130;190;245;245;227;1;3;137103
137;90;55;20;50;170;1;7;137107
137;280;220;240;215;200;2;1;137201
137;300;230;115;50;20;2;2;137202
137;;75;130;250;415;2;4;137204
137;;75;130;250;415;3;0;137300
137;580;450;355;265;220;3;1;137301
138;400;120;280;;;0;0;138000
138;200;60;140;;;1;2;138102
138;200;60;140;;;1;3;138103
138;;60;140;;;2;1;138201
138;;60;140;;;2;2;138202
138;400;;;;;2;3;138203
138;;120;280;;;3;1;138301
138;400;;;;;3;2;138302
139;4910;6195;6820;5300;4943;0;0;139000
139;3345;4040;4505;3485;3048;1;2;139102
139;1565;2155;2315;1815;1895;1;3;139103
139;2570;3235;3195;2750;2580;2;1;139201
139;2340;2960;3475;2400;2233;2;2;139202
139;;;150;150;130;2;4;139204
139;;;150;150;130;3;0;139300
139;4910;6195;6670;5150;4813;3;1;139301
143;43871;48196;57055;47780;45615;0;0;143000
143;33056;33993;41954;33107;31389;1;2;143102
143;10815;14203;15101;14673;14226;1;3;143103
143;19616;19023;23285;19152;19496;2;1;143201
143;20530;22823;23531;17938;18729;2;2;143202
143;859;616;1352;2280;2100;2;3;143203
143;2866;5734;8887;8410;5290;2;4;143204
143;2866;5734;8887;8410;5290;3;0;143300
143;40146;41846;46816;37090;38225;3;1;143301
143;859;616;1352;2280;2100;3;2;143302
144;1480;1492;1539;1547;;0;0;144000
144;115;110;0;0;;1;2;144102
144;1365;1382;1539;1547;;1;3;144103
144;1480;1492;1539;1547;;2;1;144201
144;0;0;0;0;;2;2;144202
144;1480;1492;1539;1547;;3;1;144301
152;7035;20441;17392;24278;24048;0;0;152000
152;2610;9774;7114;11940;11510;1;2;152102
152;1865;8610;7571;11000;11200;1;3;152103
152;840;410;990;613;613;1;7;152107
152;1720;1647;1717;725;725;1;8;152108
152;683;786;705;195;0;2;1;152201
152;1422;1898;1213;1445;1100;2;2;152202
152;;140;860;2410;2640;2;3;152203
152;4930;17617;14614;20228;20308;2;4;152204
152;4930;17617;14614;20228;20308;3;0;152300
152;2025;2294;1528;540;0;3;1;152301
152;80;530;1250;3510;3740;3;2;152302
155;4209;4499;4099;4099;4099;0;0;155000
155;3049;3219;2859;2859;2859;1;2;155102
155;1160;1280;1240;1240;1240;1;3;155103
155;2940;2470;2150;2150;2150;2;1;155201
155;1269;2029;1949;1949;1949;2;2;155202
155;4209;4499;4099;4099;4099;3;1;155301
162;1400;1390;1325;1835;2605;0;0;162000
162;510;510;330;710;830;1;2;162102
162;790;880;675;805;1075;1;3;162103
162;100;0;320;320;700;1;7;162107
162;340;260;195;435;310;2;1;162201
162;560;260;195;350;340;2;2;162202
162;50;0;20;20;20;2;3;162203
162;450;870;915;1030;1935;2;4;162204
162;450;870;915;1030;1935;3;0;162300
162;850;520;390;785;650;3;1;162301
162;100;0;20;20;20;3;2;162302
165;1165;1260;19980;0;;0;0;165000
165;345;360;11280;0;;1;2;165102
165;820;900;8700;0;;1;3;165103
165;70;20;9840;0;;2;1;165201
165;1095;1240;10140;0;;2;2;165202
165;0;;;;;2;5;165205
165;1165;1260;19980;0;;3;1;165301
170;230;135;0;0;;0;0;170000
170;120;45;0;0;;1;2;170102
170;110;90;0;0;;1;3;170103
170;25;;;;;2;2;170202
170;25;;;;;2;3;170203
170;180;135;0;0;;2;4;170204
170;180;135;0;0;;3;0;170300
170;25;;;;;3;1;170301
170;25;;;;;3;2;170302
171;1300;3050;4400;4150;5945;0;0;171000
171;0;0;0;300;526;1;2;171102
171;1300;3050;4400;3850;5419;1;3;171103
171;;650;900;450;450;2;1;171201
171;700;1250;1750;1700;1700;2;2;171202
171;600;1150;1750;2000;3795;2;4;171204
171;600;1150;1750;2000;3795;3;0;171300
171;700;1900;2650;2150;2150;3;1;171301
176;21460;3233;2435;0;0;0;0;176000
176;16980;1998;1560;0;0;1;2;176102
176;4480;1235;875;0;0;1;3;176103
176;4540;80;95;0;0;2;1;176201
176;4020;80;145;0;0;2;2;176202
176;10900;1630;1395;0;0;2;3;176203
176;2000;1443;800;0;0;2;4;176204
176;2000;1443;800;0;0;3;0;176300
176;8560;160;240;0;0;3;1;176301
176;10900;1630;1395;0;0;3;2;176302
193;410;390;395;430;400;0;0;193000
193;120;120;120;135;135;1;2;193102
193;245;245;245;265;265;1;3;193103
193;45;25;30;30;;1;8;193108
193;290;270;275;300;270;2;1;193201
193;120;120;120;130;130;2;2;193202
193;410;390;395;430;400;3;1;193301
214;6580;6580;4620;1080;0;0;0;214000
214;6580;6580;4620;1080;0;1;2;214102
214;2340;2340;1560;540;0;2;1;214201
214;1760;1760;1560;180;0;2;2;214202
214;;;;360;0;2;3;214203
214;2480;2480;1500;0;0;2;4;214204
214;2480;2480;1500;0;0;3;0;214300
214;4100;4100;3120;720;0;3;1;214301
214;;;;360;0;3;2;214302
218;4020;4050;4835;4795;5004;0;0;218000
218;4020;4050;4835;4795;5004;1;2;218102
218;2740;2595;2270;2260;2201;2;1;218201
218;1280;1205;1115;1375;1543;2;2;218202
218;;;;200;300;2;3;218203
218;;250;1450;960;960;2;4;218204
218;;250;1450;960;960;3;0;218300
218;4020;3800;3385;3635;3744;3;1;218301
218;;;;200;300;3;2;218302
229;0;0;;;;0;0;229000
229;0;0;;;;1;2;229102
229;0;0;;;;2;1;229201
229;0;0;;;;3;1;229301
236;370;40;40;40;0;0;0;236000
236;260;0;0;0;0;1;2;236102
236;110;40;40;40;0;1;7;236107
236;30;0;;;;2;1;236201
236;60;0;;;;2;2;236202
236;280;40;40;40;0;2;3;236203
236;90;0;;;;3;1;236301
236;280;40;40;40;0;3;2;236302
241;45;78;78;70;50;0;0;241000
241;45;78;78;70;50;1;2;241102
241;45;78;78;70;50;2;1;241201
241;45;78;78;70;50;3;1;241301
257;940;825;725;800;940;0;0;257000
257;940;825;725;800;940;1;2;257102
257;280;240;240;320;460;2;1;257201
257;510;485;485;480;480;2;2;257202
257;150;100;0;0;0;2;4;257204
257;150;100;0;0;0;3;0;257300
257;790;725;725;800;940;3;1;257301
258;0;;;;;0;0;258000
258;0;;;;;1;2;258102
258;0;;;;;2;4;258204
258;0;;;;;3;0;258300
260;15641;16129;15947;16414;17662;0;0;260000
260;15641;16129;15947;16414;16802;1;2;260102
260;;;;;860;1;7;260107
260;11696;11964;11874;12104;12157;2;1;260201
260;3945;4165;3953;3860;3650;2;2;260202
260;;;;;160;2;3;260203
260;;;120;450;1695;2;4;260204
260;;;120;450;1695;3;0;260300
260;15641;16129;15827;15964;15807;3;1;260301
260;;;;;160;3;2;260302
273;350;0;0;0;;0;0;273000
273;350;0;0;0;;1;2;273102
273;166;0;0;0;;2;1;273201
273;184;0;0;0;;2;2;273202
273;350;0;0;0;;3;1;273301
280;975;1095;15720;0;;0;0;280000
280;975;1095;15720;0;;1;2;280102
280;240;225;7920;0;;2;1;280201
280;735;870;7800;0;;2;2;280202
280;975;1095;15720;0;;3;1;280301
305;0;0;;;;0;0;305000
305;0;0;;;;1;2;305102
305;0;0;;;;2;1;305201
305;0;0;;;;2;2;305202
305;0;0;;;;3;1;305301
312;920;5635;6765;6765;6285;0;0;312000
312;920;5635;6765;6765;6285;1;2;312102
312;0;;;;;2;2;312202
312;0;;;;;2;3;312203
312;920;5635;6765;6765;6285;2;4;312204
312;0;;;;;2;5;312205
312;920;5635;6765;6765;6285;3;0;312300
312;0;;;;;3;1;312301
312;0;;;;;3;2;312302
315;0;;;;;0;0;315000
315;0;;;;;1;2;315102
315;0;;;;;2;2;315202
315;0;;;;;3;1;315301
319;45;0;70;70;140;0;0;319000
319;45;0;70;70;140;1;2;319102
319;0;;;;;2;1;319201
319;0;0;;;;2;2;319202
319;45;0;70;70;140;2;4;319204
319;45;0;70;70;140;3;0;319300
319;0;0;;;;3;1;319301
328;3360;3580;0;0;0;0;0;328000
328;3360;3580;0;0;0;1;2;328102
328;960;800;0;0;0;2;1;328201
328;2340;2780;0;0;0;2;2;328202
328;60;0;0;0;0;2;5;328205
328;3360;3580;0;0;0;3;1;328301
331;880;850;700;0;0;0;0;331000
331;880;850;700;0;0;1;2;331102
331;490;400;500;0;0;2;1;331201
331;390;350;200;0;0;2;2;331202
331;;100;;;;2;3;331203
331;880;750;700;0;0;3;1;331301
331;;100;;;;3;2;331302
367;3545;3605;3334;3586;3589;0;0;367000
367;3545;3605;3334;3586;3589;1;2;367102
367;2085;2065;2003;2168;2154;2;1;367201
367;1460;1540;1331;1418;1435;2;2;367202
367;3545;3605;3334;3586;3589;3;1;367301
374;220;735;0;0;;0;0;374000
374;220;735;0;0;;1;2;374102
374;0;;;;;2;1;374201
374;0;0;0;0;;2;2;374202
374;220;735;0;0;;2;3;374203
374;0;0;0;0;;2;4;374204
374;0;0;0;0;;3;0;374300
374;0;0;0;0;;3;1;374301
374;220;735;0;0;;3;2;374302
382;180;210;270;270;300;0;0;382000
382;180;210;270;270;300;1;2;382102
382;150;180;240;240;240;2;1;382201
382;30;30;30;30;0;2;2;382202
382;;;;;60;2;4;382204
382;;;;;60;3;0;382300
382;180;210;270;270;240;3;1;382301
390;1430;0;;;;0;0;390000
390;1430;0;;;;1;2;390102
390;625;0;;;;2;1;390201
390;805;0;;;;2;2;390202
390;1430;0;;;;3;1;390301
398;1480;5000;0;0;;0;0;398000
398;1480;5000;0;0;;1;2;398102
398;765;1400;0;0;;2;1;398201
398;715;1400;0;0;;2;2;398202
398;;1100;;;;2;3;398203
398;;1100;;;;2;4;398204
398;;1100;;;;3;0;398300
398;1480;2800;0;0;;3;1;398301
398;;1100;;;;3;2;398302
426;1950;1950;1650;1650;0;0;0;426000
426;1950;1950;1650;1650;0;1;2;426102
426;650;650;550;550;0;2;1;426201
426;650;650;550;550;0;2;2;426202
426;650;650;550;550;0;2;4;426204
426;650;650;550;550;0;3;0;426300
426;1300;1300;1100;1100;0;3;1;426301
427;1690;1460;405;390;365;0;0;427000
427;1690;1460;405;390;365;1;2;427102
427;660;610;80;90;90;2;1;427201
427;1030;850;325;300;275;2;2;427202
427;1690;1460;405;390;365;3;1;427301
430;24091;25420;20291;28879;27228;0;0;430000
430;24091;25420;20291;28879;27228;1;2;430102
430;16328;16826;13718;19321;17552;2;1;430201
430;7763;8594;6573;9138;9581;2;2;430202
430;;;;420;95;2;4;430204
430;;;;420;95;3;0;430300
430;24091;25420;20291;28459;27133;3;1;430301
430;0;0;0;0;0;3;2;430302
435;1905;1500;1495;1400;1000;0;0;435000
435;1425;1500;1370;1100;950;1;2;435102
435;480;0;125;300;50;1;7;435107
435;695;630;630;510;390;2;1;435201
435;500;490;360;310;310;2;2;435202
435;30;90;90;140;120;2;3;435203
435;680;290;415;440;180;2;4;435204
435;680;290;415;440;180;3;0;435300
435;1195;1120;990;820;700;3;1;435301
435;30;90;90;140;120;3;2;435302
450;1055;1180;1020;1050;1090;0;0;450000
450;1055;1180;1020;1050;1090;1;2;450102
450;550;585;510;450;695;2;1;450201
450;505;595;510;600;395;2;2;450202
450;1055;1180;1020;1050;1090;3;1;450301
456;3475;2720;2490;4965;4840;0;0;456000
456;3475;2720;2490;4965;4840;1;2;456102
456;1910;1505;1425;2590;2400;2;1;456201
456;1565;1215;1065;2375;2440;2;2;456202
456;3475;2720;2490;4965;4840;3;1;456301
492;0;0;;;;0;0;492000
492;0;0;;;;1;2;492102
492;0;0;;;;2;2;492202
492;0;0;;;;2;3;492203
492;0;0;;;;2;4;492204
492;0;0;;;;3;0;492300
492;0;0;;;;3;1;492301
492;0;0;;;;3;2;492302
498;0;0;;;;0;0;498000
498;0;0;;;;1;2;498102
498;0;0;;;;2;1;498201
498;0;0;;;;2;2;498202
498;0;0;;;;3;1;498301
534;2550;460;2300;680;600;0;0;534000
534;2550;460;2300;680;600;1;2;534102
534;1200;30;100;;;2;1;534201
534;1100;30;100;;;2;2;534202
534;;;;80;;2;3;534203
534;250;400;2100;600;600;2;4;534204
534;250;400;2100;600;600;3;0;534300
534;2300;60;200;;;3;1;534301
534;;;;80;;3;2;534302
536;0;0;;;;0;0;536000
536;0;0;;;;1;2;536102
536;0;0;;;;2;1;536201
536;0;0;;;;2;2;536202
536;0;0;;;;3;1;536301
591;0;0;;;;0;0;591000
591;0;0;;;;1;2;591102
591;0;0;;;;2;2;591202
591;0;0;;;;3;1;591301
627;;;;;995;0;0;627000
627;;;;;995;1;2;627102
627;;;;;995;2;1;627201
627;;;;;995;3;1;627301
629;2795;2982;4076;3810;4013;0;0;629000
629;2795;2982;4076;3810;4013;1;2;629102
629;1370;1380;1636;1725;1796;2;1;629201
629;1425;1602;2040;1635;1517;2;2;629202
629;;;400;450;700;2;4;629204
629;;;400;450;700;3;0;629300
629;2795;2982;3676;3360;3313;3;1;629301
633;881;843;885;765;0;0;0;633000
633;881;843;885;765;0;1;2;633102
633;407;389;445;365;0;2;1;633201
633;424;394;360;325;0;2;2;633202
633;;;20;0;0;2;3;633203
633;50;60;60;75;0;2;4;633204
633;50;60;60;75;0;3;0;633300
633;831;783;805;690;0;3;1;633301
633;;;20;0;0;3;2;633302
651;0;;;;;0;0;651000
651;0;;;;;1;5;651105
651;0;;;;;2;1;651201
651;0;;;;;2;2;651202
651;0;;;;;3;1;651301
658;0;49;;;;0;0;658000
658;0;33;;;;1;2;658102
658;0;16;;;;1;5;658105
658;0;49;;;;2;1;658201
658;0;49;;;;3;1;658301
671;1180;634;1420;634;830;0;0;671000
671;1180;634;1420;634;830;1;2;671102
671;1180;634;1420;634;830;2;1;671201
671;1180;634;1420;634;830;3;1;671301
672;150;352;619;253;150;0;0;672000
672;150;352;619;253;150;1;3;672103
672;150;352;619;253;150;2;1;672201
672;150;352;619;253;150;3;1;672301
673;180;180;180;285;292;0;0;673000
673;180;180;180;285;292;1;3;673103
673;180;180;180;285;292;2;1;673201
673;180;180;180;285;292;3;1;673301
674;20;510;75;75;125;0;0;674000
674;10;40;25;25;25;1;4;674104
674;;350;25;25;75;1;7;674107
674;10;100;25;25;25;1;9;674109
674;;20;0;0;0;1;10;674110
674;20;90;50;50;50;2;2;674202
674;;420;25;25;75;2;4;674204
674;;420;25;25;75;3;0;674300
674;20;90;50;50;50;3;1;674301
675;0;360;390;315;293;0;0;675000
675;0;300;365;255;255;1;2;675102
675;0;60;25;60;38;1;3;675103
675;0;360;390;315;293;2;1;675201
675;0;0;0;;;2;2;675202
675;0;360;390;315;293;3;1;675301
676;410;330;350;440;440;0;0;676000
676;;;;180;220;1;2;676102
676;410;330;350;260;220;1;3;676103
676;370;290;310;360;400;2;1;676201
676;40;40;40;80;40;2;2;676202
676;410;330;350;440;440;3;1;676301
691;380;600;600;0;0;0;0;691000
691;380;600;600;0;0;1;2;691102
691;190;300;300;0;0;2;1;691201
691;190;300;300;;;2;3;691203
691;190;300;300;0;0;3;1;691301
691;190;300;300;;;3;2;691302
693;320;280;290;300;320;0;0;693000
693;60;60;160;120;180;1;2;693102
693;260;220;130;180;140;1;3;693103
693;220;220;170;180;200;2;1;693201
693;40;0;80;40;0;2;2;693202
693;60;60;40;80;120;2;4;693204
693;60;60;40;80;120;3;0;693300
693;260;220;250;220;200;3;1;693301
701;690;1005;1200;1115;1115;0;0;701000
701;690;1005;1200;1115;1115;1;2;701102
701;240;240;240;205;110;2;1;701201
701;210;225;270;180;90;2;2;701202
701;90;135;180;240;160;2;3;701203
701;150;405;510;490;755;2;4;701204
701;150;405;510;490;755;3;0;701300
701;450;465;510;385;200;3;1;701301
701;90;135;180;240;160;3;2;701302
714;60;131;50;50;50;0;0;714000
714;60;131;50;50;50;1;3;714103
714;60;131;50;50;50;2;1;714201
714;60;131;50;50;50;3;1;714301
728;805;1275;772;240;251;0;0;728000
728;565;1035;532;0;11;1;2;728102
728;;240;240;240;240;1;3;728103
728;240;0;0;0;0;1;5;728105
728;805;1275;772;240;251;2;1;728201
728;805;1275;772;240;251;3;1;728301
730;130;325;206;235;265;0;0;730000
730;130;325;206;235;265;1;2;730102
730;130;150;0;;;2;1;730201
730;;175;206;235;265;2;3;730203
730;130;150;0;;;3;1;730301
730;;175;206;235;265;3;2;730302
740;130;134;138;138;130;0;0;740000
740;130;130;130;130;130;1;1;740101
740;0;4;8;8;0;1;5;740105
